iter	Passed	Remaining
413	3307	4681
414	3316	4674
415	3323	4665
416	3330	4656
417	3337	4647
418	3344	4637
419	3354	4632
420	3361	4623
421	3368	4613
422	3378	4607
423	3385	4599
424	3392	4590
425	3399	4580
426	3407	4572
427	3414	4563
428	3421	4554
429	3429	4545
430	3437	4537
431	3444	4528
432	3452	4520
433	3461	4513
434	3469	4505
435	3475	4496
436	3483	4488
437	3490	4479
438	3499	4472
439	3509	4466
440	3517	4459
441	3526	4452
442	3535	4445
443	3542	4436
444	3550	4428
445	3558	4420
446	3567	4413
447	3575	4405
448	3584	4398
449	3592	4390
450	3600	4382
451	3607	4373
452	3615	4365
453	3622	4356
454	3629	4347
455	3636	4338
456	3644	4330
457	3652	4322
458	3660	4314
459	3668	4306
460	3675	4297
461	3682	4288
462	3689	4278
463	3696	4269
464	3703	4261
465	3710	4251
466	3717	4242
467	3724	4233
468	3731	4224
469	3738	4215
470	3745	4206
471	3752	4197
472	3760	4189
473	3768	4181
474	3775	4172
475	3783	4164
476	3790	4155
477	3797	4147
478	3805	4139
479	3814	4131
480	3821	4123
481	3828	4114
482	3836	4106
483	3843	4098
484	3850	4089
485	3857	4079
486	3865	4072
487	3872	4063
488	3882	4057
489	3889	4047
490	3898	4040
491	3905	4032
492	3913	4024
493	3920	4015
494	3927	4007
495	3937	4000
496	3944	3992
497	3954	3985
498	3962	3978
499	3969	3969
500	3978	3962
501	3986	3954
502	3995	3947
503	4003	3939
504	4010	3931
505	4017	3922
506	4025	3914
507	4032	3905
508	4040	3897
509	4047	3888
510	4054	3879
511	4061	3871
512	4069	3862
513	4076	3854
514	4084	3846
515	4092	3839
516	4101	3831
517	4108	3823
518	4116	3815
519	4123	3806
520	4131	3798
521	4137	3789
522	4145	3781
523	4153	3772
524	4159	3763
525	4167	3755
526	4174	3746
527	4181	3737
528	4188	3729
529	4196	3721
530	4204	3713
531	4212	3705
532	4219	3697
533	4228	3689
534	4235	3681
535	4242	3672
536	4249	3664
537	4257	3655
538	4265	3648
539	4273	3640
540	4281	3632
541	4288	3623
542	4295	3615
543	4302	3606
544	4309	3598
545	4316	3589
546	4324	3581
547	4331	3572
548	4339	3564
549	4348	3557
550	4357	3550
551	4365	3543
552	4372	3534
553	4380	3526
554	4387	3517
555	4394	3509
556	4401	3500
557	4408	3491
558	4415	3483
559	4423	3475
560	4431	3467
561	4438	3459
562	4445	3450
563	4452	3442
564	4461	3434
565	4467	3425
566	4476	3418
567	4484	3410
568	4491	3402
569	4500	3394
570	4508	3386
571	4518	3380
572	4525	3372
573	4532	3363
574	4539	3354
575	4547	3347
576	4557	3341
577	4566	3333
578	4573	3325
579	4582	3318
580	4589	3309
581	4596	3301
582	4603	3292
583	4610	3284
584	4617	3275
585	4627	3269
586	4634	3260
587	4641	3252
588	4649	3244
589	4657	3236
590	4665	3228
591	4674	3221
592	4682	3213
593	4689	3205
594	4696	3196
595	4706	3190
596	4716	3183
597	4723	3175
598	4730	3166
599	4736	3157
600	4746	3150
601	4753	3142
602	4762	3135
603	4770	3127
604	4778	3119
605	4786	3111
606	4793	3103
607	4800	3094
608	4807	3086
609	4816	3079
610	4824	3071
611	4831	3063
612	4838	3054
613	4845	3046
614	4856	3040
615	4864	3032
616	4871	3024
617	4879	3016
618	4888	3009
619	4895	3000
620	4902	2992
621	4913	2985
622	4920	2977
623	4927	2969
624	4934	2960
625	4942	2952
626	4952	2946
627	4960	2938
628	4969	2931
629	4976	2922
630	4983	2914
631	4990	2905
632	4997	2897
633	5004	2889
634	5011	2880
635	5019	2872
636	5026	2864
637	5033	2856
638	5040	2847
639	5051	2841
640	5059	2833
641	5067	2825
642	5075	2818
643	5082	2809
644	5090	2801
645	5097	2793
646	5105	2785
647	5112	2777
648	5119	2768
649	5126	2760
650	5134	2752
651	5144	2745
652	5151	2737
653	5158	2729
654	5165	2720
655	5173	2713
656	5183	2706
657	5190	2697
658	5197	2689
659	5204	2681
660	5211	2672
661	5218	2664
662	5227	2657
663	5235	2649
664	5242	2640
665	5253	2634
666	5263	2627
667	5270	2619
668	5277	2611
669	5285	2603
670	5292	2595
671	5300	2586
672	5309	2579
673	5317	2572
674	5324	2563
675	5332	2555
676	5341	2548
677	5347	2539
678	5354	2531
679	5361	2523
680	5368	2514
681	5375	2506
682	5383	2498
683	5393	2491
684	5402	2484
685	5411	2476
686	5418	2468
687	5425	2460
688	5432	2452
689	5440	2444
690	5448	2436
691	5455	2428
692	5462	2419
693	5469	2411
694	5477	2403
695	5485	2396
696	5493	2388
697	5500	2379
698	5508	2372
699	5516	2364
700	5524	2356
701	5532	2348
702	5542	2341
703	5550	2333
704	5556	2325
705	5564	2317
706	5571	2309
707	5578	2300
708	5586	2292
709	5594	2284
710	5601	2277
711	5610	2269
712	5617	2261
713	5624	2253
714	5631	2244
715	5638	2236
716	5645	2228
717	5652	2220
718	5659	2211
719	5666	2203
720	5675	2196
721	5683	2188
722	5693	2181
723	5700	2173
724	5708	2165
725	5715	2156
726	5722	2149
727	5731	2141
728	5739	2133
729	5745	2125
730	5753	2117
731	5760	2109
732	5767	2100
733	5775	2093
734	5782	2084
735	5790	2077
736	5797	2068
737	5804	2060
738	5812	2052
739	5820	2045
740	5828	2037
741	5835	2029
742	5843	2021
743	5851	2013
744	5860	2005
745	5868	1998
746	5876	1990
747	5884	1982
748	5893	1974
749	5899	1966
750	5906	1958
751	5913	1950
752	5923	1942
753	5930	1934
754	5937	1926
755	5944	1918
756	5951	1910
757	5958	1902
758	5967	1894
759	5974	1886
760	5981	1878
761	5989	1870
762	5995	1862
763	6002	1854
764	6009	1846
765	6016	1837
766	6023	1829
767	6031	1822
768	6040	1814
769	6047	1806
770	6055	1798
771	6062	1790
772	6068	1782
773	6076	1774
774	6084	1766
775	6091	1758
776	6098	1750
777	6106	1742
778	6116	1735
779	6123	1727
780	6130	1718
781	6138	1711
782	6147	1703
783	6154	1695
784	6161	1687
785	6169	1679
786	6176	1671
787	6187	1664
788	6194	1656
789	6203	1649
790	6211	1641
791	6218	1633
792	6225	1625
793	6232	1616
794	6242	1609
795	6250	1601
796	6257	1593
797	6266	1586
798	6274	1578
799	6283	1570
800	6290	1562
801	6297	1554
802	6304	1546
803	6311	1538
804	6318	1530
805	6325	1522
806	6333	1514
807	6341	1506
808	6352	1499
809	6359	1491
810	6367	1483
811	6374	1475
812	6382	1467
813	6389	1459
814	6399	1452
815	6406	1444
816	6414	1436
817	6421	1428
818	6428	1420
819	6435	1412
820	6443	1404
821	6451	1396
822	6458	1389
823	6465	1380
824	6472	1372
825	6479	1364
826	6487	1357
827	6496	1349
828	6503	1341
829	6511	1333
830	6518	1325
831	6525	1317
832	6533	1309
833	6540	1301
834	6547	1293
835	6554	1285
836	6561	1277
837	6568	1269
838	6575	1261
839	6582	1253
840	6589	1245
841	6595	1237
842	6601	1229
843	6609	1221
844	6616	1213
845	6625	1205
846	6632	1197
847	6639	1190
848	6646	1182
849	6653	1174
850	6660	1166
851	6668	1158
852	6675	1150
853	6684	1142
854	6690	1134
855	6697	1126
856	6706	1118
857	6716	1111
858	6724	1103
859	6730	1095
860	6737	1087
861	6744	1079
862	6751	1071
863	6761	1064
864	6768	1056
865	6776	1048
866	6783	1040
867	6790	1032
868	6798	1024
869	6806	1017
870	6814	1009
871	6824	1001
872	6830	993
873	6838	985
874	6847	978
875	6855	970
876	6862	962
877	6869	954
878	6876	946
879	6883	938
880	6890	930
881	6897	922
882	6905	915
883	6913	907
884	6921	899
885	6931	891
886	6941	884
887	6948	876
888	6955	868
889	6965	860
890	6972	852
891	6979	845
892	6989	837
893	6997	829
894	7004	821
895	7011	813
896	7018	805
897	7026	798
898	7035	790
899	7043	782
900	7050	774
901	7060	767
902	7070	759
903	7077	751
904	7084	743
905	7091	735
906	7100	728
907	7107	720
908	7115	712
909	7122	704
910	7130	696
911	7137	688
912	7144	680
913	7151	672
914	7158	665
915	7165	657
916	7172	649
917	7180	641
918	7187	633
919	7194	625
920	7204	618
921	7212	610
922	7219	602
923	7226	594
924	7237	586
925	7245	578
926	7251	571
927	7259	563
928	7267	555
929	7274	547
930	7281	539
931	7291	531
932	7299	524
933	7306	516
934	7314	508
935	7321	500
936	7330	492
937	7337	485
938	7345	477
939	7353	469
940	7360	461
941	7367	453
942	7374	445
943	7381	437
944	7390	430
945	7398	422
946	7405	414
947	7412	406
948	7419	398
949	7426	390
950	7435	383
951	7444	375
952	7452	367
953	7459	359
954	7470	352
955	7477	344
956	7484	336
957	7493	328
958	7500	320
959	7507	312
960	7515	304
961	7522	297
962	7530	289
963	7537	281
964	7545	273
965	7552	265
966	7560	257
967	7566	250
968	7574	242
969	7582	234
970	7589	226
971	7599	218
972	7606	211
973	7614	203
974	7622	195
975	7629	187
976	7637	179
977	7643	171
978	7653	164
979	7660	156
980	7669	148
981	7675	140
982	7682	132
983	7689	125
984	7696	117
985	7703	109
986	7709	101
987	7716	93
988	7723	85
989	7730	78
990	7738	70
991	7745	62
992	7753	54
993	7762	46
994	7773	39
995	7780	31
996	7787	23
997	7795	15
998	7802	7
999	7811	0
