iter	CrossEntropy
0	0.6929731739
1	0.6929720348
2	0.6929709631
3	0.6929699547
4	0.6929291981
5	0.6929283055
6	0.6929274656
7	0.6929266754
8	0.6929259319
9	0.6927599476
10	0.6918888377
11	0.6886689569
12	0.6886577024
13	0.6886572549
14	0.6884387175
15	0.6884383436
16	0.6884379671
17	0.6884376128
18	0.6879953562
19	0.6879950435
20	0.6873631268
21	0.6862772086
22	0.6862770566
23	0.6835080232
24	0.6835080207
25	0.6808458951
26	0.6808457506
27	0.6808456621
28	0.6808455314
29	0.6808184529
30	0.6808183695
31	0.6808182724
32	0.6808182562
33	0.6808181884
34	0.6808181585
35	0.6808181244
36	0.6806940639
37	0.6785509407
38	0.678550889
39	0.6785508865
40	0.6785508287
41	0.678550802
42	0.6785508008
43	0.6785507997
44	0.6780160658
45	0.6778835489
46	0.6778835142
47	0.6778834757
48	0.6778834654
49	0.6774261656
50	0.6771602037
51	0.6771602034
52	0.6771601658
53	0.677160126
54	0.6752598365
55	0.6743392229
56	0.6743392186
57	0.6743392157
58	0.6743392029
59	0.6743391984
60	0.6743391975
61	0.6743391829
62	0.6743391758
63	0.6739849118
64	0.6735870703
65	0.6735870617
66	0.6735870559
67	0.6735870496
68	0.6735870493
69	0.673587049
70	0.6735870487
71	0.6735870437
72	0.6735582304
73	0.6735582246
74	0.6735582226
75	0.673558218
76	0.6735582153
77	0.6735582076
78	0.6735582004
79	0.6730017563
80	0.6730017546
81	0.6728912987
82	0.6705888242
83	0.670588824
84	0.669875069
85	0.6695070897
86	0.6694954125
87	0.6694954125
88	0.6694954122
89	0.6690704941
90	0.6689405562
91	0.6678026553
92	0.6678026512
93	0.6678026473
94	0.6672431569
95	0.6672431478
96	0.6672331149
97	0.6672331069
98	0.6672330994
99	0.6655071566
100	0.6654616212
101	0.665461606
102	0.6654616022
103	0.6654615973
104	0.6654615835
105	0.6654615833
106	0.6654577101
107	0.6646950113
108	0.6646950112
109	0.664283276
110	0.6642832725
111	0.6642832699
112	0.6640960276
113	0.6640487158
114	0.6640487143
115	0.6640228734
116	0.6640228675
117	0.6640228663
118	0.6640228573
119	0.6631800769
120	0.6631800679
121	0.6629744942
122	0.6625362144
123	0.6625362102
124	0.662536203
125	0.6613847801
126	0.6613847791
127	0.661384777
128	0.6586893587
129	0.6586893521
130	0.6586893493
131	0.658689349
132	0.6586817127
133	0.6585135211
134	0.6585135189
135	0.6585135057
136	0.6585135046
137	0.657563414
138	0.6575634132
139	0.6575634107
140	0.6575634073
141	0.6557573469
142	0.6553955601
143	0.65539556
144	0.6553955545
145	0.6553883156
146	0.6525232143
147	0.6525104096
148	0.6505979459
149	0.6505979362
150	0.6505979113
151	0.6505979103
152	0.6504383337
153	0.6496924722
154	0.6496924492
155	0.6496733666
156	0.6496733605
157	0.6496733545
158	0.6496733267
159	0.6492587958
160	0.649166793
161	0.6491667688
162	0.6487378267
163	0.6487378231
164	0.648737816
165	0.648737809
166	0.6487377995
167	0.6487377777
168	0.6487377522
169	0.6487361062
170	0.6487360835
171	0.6487360834
172	0.6487360832
173	0.648736083
174	0.648735784
175	0.6487357738
176	0.6487216427
177	0.6486969586
178	0.6486969564
179	0.6486969543
180	0.6485818128
181	0.6479183436
182	0.6479031575
183	0.6466075914
184	0.6459354474
185	0.6459354286
186	0.6459354214
187	0.6459354011
188	0.6459353999
189	0.6459353891
190	0.6458536374
191	0.6455781043
192	0.6455780911
193	0.6451559136
194	0.6451559095
195	0.6451558995
196	0.6451558976
197	0.6451558923
198	0.641749598
199	0.6416980162
200	0.6416980017
201	0.6412261127
202	0.6412260944
203	0.641226085
204	0.6412260544
205	0.6406161817
206	0.6395800024
207	0.6392397364
208	0.6390167488
209	0.6387783869
210	0.6379885136
211	0.6379885071
212	0.6379885068
213	0.6379885065
214	0.6379885063
215	0.6379823739
216	0.6379823717
217	0.6375402734
218	0.6375402726
219	0.6375402595
220	0.6372424887
221	0.637151053
222	0.6371364749
223	0.6349170705
224	0.6349170449
225	0.6349170409
226	0.6349170172
227	0.6348223297
228	0.6344729328
229	0.6344729261
230	0.6344729119
231	0.6344729118
232	0.6344729116
233	0.6332363464
234	0.6332363412
235	0.6329966504
236	0.6328227156
237	0.6328226911
238	0.6318962893
239	0.6317682292
240	0.6315941357
241	0.6298121924
242	0.6298121815
243	0.6285417575
244	0.6285417495
245	0.6280317411
246	0.6280317375
247	0.62796215
248	0.6277405111
249	0.6257834925
250	0.6257814693
251	0.6257814302
252	0.6257813864
253	0.6255454995
254	0.6255454797
255	0.6255454393
256	0.6255454376
257	0.625338733
258	0.6253387152
259	0.6253387088
260	0.6253387085
261	0.6253387081
262	0.6253387065
263	0.6253386567
264	0.6253386482
265	0.6243163965
266	0.62415699
267	0.6241569829
268	0.6241569533
269	0.6240670814
270	0.6240670721
271	0.6240277746
272	0.6239930156
273	0.6238766579
274	0.6238766574
275	0.6238766569
276	0.6238766564
277	0.6236038812
278	0.6236038531
279	0.6236038316
280	0.6236038065
281	0.6236037931
282	0.623577961
283	0.623164506
284	0.6220409353
285	0.6217414426
286	0.620509816
287	0.6204971539
288	0.6204957572
289	0.6204957502
290	0.6204957433
291	0.6204323984
292	0.6204323968
293	0.62043239
294	0.6204323832
295	0.6201771117
296	0.6201770985
297	0.6201770865
298	0.6201770851
299	0.6199891019
300	0.6199890904
301	0.6199890898
302	0.6199890794
303	0.6199890765
304	0.6197736298
305	0.6197736149
306	0.6197736055
307	0.6197735921
308	0.6192641109
309	0.618850872
310	0.6188508702
311	0.6188508683
312	0.6188508576
313	0.6188508439
314	0.6188508401
315	0.6186661279
316	0.6186661275
317	0.6186661271
318	0.6186661253
319	0.6186661236
320	0.6185440502
321	0.618544047
322	0.6185440454
323	0.6180170555
324	0.6180170485
325	0.6180170463
326	0.6171680872
327	0.6171680734
328	0.6171680701
329	0.617168049
330	0.6169464141
331	0.6160514893
332	0.6160514859
333	0.6150131138
334	0.6147307836
335	0.6147307826
336	0.6146182503
337	0.6146182484
338	0.6146180878
339	0.614618065
340	0.613938626
341	0.6139386232
342	0.6139386089
343	0.6139386024
344	0.6139385959
345	0.6139385906
346	0.6139385904
347	0.6139385903
348	0.6139385901
349	0.6130050993
350	0.6129715878
351	0.6129697398
352	0.6129697202
353	0.6129697174
354	0.6129350091
355	0.6129350048
356	0.6128549623
357	0.6126684006
358	0.6126684
359	0.612668399
360	0.612668398
361	0.612668397
362	0.612668393
363	0.6126672527
364	0.6126672517
365	0.6126672434
366	0.6122788703
367	0.6122788665
368	0.6122788637
369	0.6122356935
370	0.6122356909
371	0.6120827401
372	0.6100083648
373	0.6100083563
374	0.6100083563
375	0.6098528718
376	0.6090493755
377	0.6083440837
378	0.6083440836
379	0.6075940534
380	0.6048268645
381	0.6046292841
382	0.6046292762
383	0.6046277605
384	0.6046277457
385	0.6046277439
386	0.6038290316
387	0.6037733021
388	0.6037731736
389	0.6037730527
390	0.6037393761
391	0.6037393506
392	0.6037393314
393	0.6037392557
394	0.6037392541
395	0.6033318523
396	0.603331816
397	0.6016449431
398	0.6016448565
399	0.6011780001
400	0.6005737808
401	0.6005106514
402	0.6005106494
403	0.6003684442
404	0.6003684366
405	0.6001826852
406	0.5994703186
407	0.5993711388
408	0.599371137
409	0.5993710255
410	0.5993710255
411	0.5993710255
412	0.5993672749
413	0.5993672624
414	0.5991538335
415	0.5991537844
416	0.5991537202
417	0.5991536906
418	0.5991536709
419	0.5985754895
420	0.5985754681
421	0.5985754226
422	0.5985737248
423	0.5984976165
424	0.5984976153
425	0.5984976141
426	0.5980138948
427	0.5980138942
428	0.5980138937
429	0.5980138931
430	0.5980138926
431	0.598013892
432	0.5978988001
433	0.5973502472
434	0.5973411115
435	0.5973411112
436	0.5967243081
437	0.5967243078
438	0.5967229744
439	0.5959940402
440	0.5959204225
441	0.5953607759
442	0.5946981388
443	0.5946981197
444	0.5945627748
445	0.5945626785
446	0.5945219381
447	0.5944585236
448	0.5940828552
449	0.5940630393
450	0.5940593708
451	0.5940593501
452	0.5940593244
453	0.5940593226
454	0.594059319
455	0.5940593155
456	0.5939601792
457	0.5939601775
458	0.5934825417
459	0.5934824839
460	0.593482483
461	0.5934824822
462	0.5934824813
463	0.5934824779
464	0.5934824744
465	0.5934824678
466	0.5934824611
467	0.5934824515
468	0.5934824448
469	0.5934824121
470	0.5934824058
471	0.5934823734
472	0.5934726439
473	0.5934726051
474	0.5934725943
475	0.593457752
476	0.5934577415
477	0.593457711
478	0.5934458149
479	0.5933317663
480	0.5933301406
481	0.593330123
482	0.5933299269
483	0.593329917
484	0.5933299162
485	0.5933299144
486	0.5931490999
487	0.5931490797
488	0.5931303908
489	0.5931303771
490	0.5927398832
491	0.5927398772
492	0.5927398722
493	0.5927398401
494	0.5927398244
495	0.5924409145
496	0.5924409102
497	0.5923245095
498	0.5921527791
499	0.5921527694
500	0.5919596875
501	0.5919596705
502	0.5917478039
503	0.5917478028
504	0.5917477982
505	0.5917477869
506	0.5917477753
507	0.5917477732
508	0.5917477588
509	0.5917477578
510	0.5917477532
511	0.5917477496
512	0.5917477494
513	0.5917477455
514	0.5914983793
515	0.5914780089
516	0.5914637998
517	0.5914637996
518	0.5914637875
519	0.5914637836
520	0.5914057807
521	0.5914057801
522	0.5905133555
523	0.5905133512
524	0.5905133408
525	0.5905133353
526	0.5903714656
527	0.5903714654
528	0.5903709596
529	0.5902801725
530	0.5902798949
531	0.5902673085
532	0.5902673011
533	0.590208779
534	0.5902087739
535	0.5902087642
536	0.590208763
537	0.5902087614
538	0.5900783885
539	0.5899141624
540	0.5899141592
541	0.5899141586
542	0.5899141581
543	0.5899141531
544	0.5899141509
545	0.5899141508
546	0.5899141506
547	0.5899141505
548	0.5899141504
549	0.5898550638
550	0.5898496544
551	0.5897650193
552	0.5897650171
553	0.5895991583
554	0.5895991576
555	0.5895859783
556	0.5895859752
557	0.5895859725
558	0.589585972
559	0.5893723709
560	0.5893359145
561	0.5893359135
562	0.5893359098
563	0.5893359075
564	0.5889688121
565	0.5889688118
566	0.5888413737
567	0.5888413684
568	0.5888413669
569	0.5888237645
570	0.5887954052
571	0.5883203113
572	0.5883203103
573	0.5883203053
574	0.5883203003
575	0.5872730167
576	0.5871892914
577	0.5871892845
578	0.5871892813
579	0.587188218
580	0.5871882119
581	0.5871882093
582	0.587188204
583	0.5871882005
584	0.587188195
585	0.5869736267
586	0.5869736243
587	0.5869736238
588	0.5867946553
589	0.5866533874
590	0.586639762
591	0.5860781135
592	0.5860781081
593	0.5859705169
594	0.5859705164
595	0.5857409422
596	0.5855928874
597	0.5855928859
598	0.5855928856
599	0.5855928801
600	0.5855905545
601	0.5855905517
602	0.5853707543
603	0.5850009657
604	0.5850000319
605	0.5845609273
606	0.5845609264
607	0.5845609256
608	0.5845609232
609	0.5828443014
610	0.5826237844
611	0.5826237823
612	0.5826237661
613	0.5826237508
614	0.5826156204
615	0.5826113895
616	0.5826002258
617	0.5824383641
618	0.5823848092
619	0.5823848026
620	0.5823848002
621	0.5823524905
622	0.5823524806
623	0.5823524803
624	0.58235248
625	0.5823524751
626	0.5823416412
627	0.5823416369
628	0.5823280875
629	0.5823280865
630	0.5823280844
631	0.5823280842
632	0.5823280768
633	0.5823280759
634	0.5823280689
635	0.5823280624
636	0.5823280589
637	0.5823280549
638	0.5823280529
639	0.5816811125
640	0.5816692021
641	0.5815601236
642	0.5814748164
643	0.5814748114
644	0.5814695239
645	0.5814695207
646	0.5814695185
647	0.5814695177
648	0.5814695156
649	0.5814695147
650	0.5809551562
651	0.5809549134
652	0.5809549119
653	0.5809549059
654	0.5809549057
655	0.5809288559
656	0.5807536684
657	0.5807536681
658	0.5807536677
659	0.5807536624
660	0.5807536612
661	0.5807536611
662	0.5806995398
663	0.5806995366
664	0.5806995363
665	0.5806280416
666	0.5800781029
667	0.5800780931
668	0.5800780928
669	0.5800780878
670	0.5800780789
671	0.5800780736
672	0.5797205941
673	0.5792810496
674	0.5792810449
675	0.5792206021
676	0.578937646
677	0.5789376437
678	0.5789376313
679	0.5789376283
680	0.5789376268
681	0.5789350076
682	0.5789328554
683	0.5770274421
684	0.5768766617
685	0.5767878852
686	0.5767878748
687	0.5764224705
688	0.5764224682
689	0.5764224646
690	0.5763829275
691	0.5763829173
692	0.5763829043
693	0.5763829006
694	0.5761725624
695	0.5761537352
696	0.5761537216
697	0.5761537208
698	0.576066833
699	0.5760668238
700	0.5760654413
701	0.5760654353
702	0.5752238098
703	0.5752238068
704	0.5752238066
705	0.575203655
706	0.5752036506
707	0.5752036501
708	0.5752036453
709	0.5751995818
710	0.5748217074
711	0.5747630067
712	0.5747630062
713	0.5747630058
714	0.574763005
715	0.5747630042
716	0.5747630034
717	0.5747629999
718	0.574762992
719	0.5747629918
720	0.5746396445
721	0.5742263778
722	0.5741505875
723	0.5741505848
724	0.5741505675
725	0.5741505654
726	0.5741502784
727	0.57406785
728	0.572962844
729	0.5729628411
730	0.5729628189
731	0.5726186341
732	0.5726186255
733	0.5725898083
734	0.572589805
735	0.572589787
736	0.5725897867
737	0.5725897864
738	0.5725897862
739	0.5725821751
740	0.5724136074
741	0.5724135927
742	0.572413003
743	0.5722185844
744	0.5718887549
745	0.5717358349
746	0.5716580713
747	0.571658069
748	0.5714509409
749	0.5714509403
750	0.5714509354
751	0.5714509318
752	0.5710580899
753	0.5710580817
754	0.5710580753
755	0.571058069
756	0.5710580649
757	0.5710580619
758	0.5701286356
759	0.5701286272
760	0.5701286265
761	0.569813981
762	0.5698139768
763	0.5698139687
764	0.5698139655
765	0.5698139592
766	0.569813959
767	0.5697166772
768	0.5696235621
769	0.5696235617
770	0.5696235614
771	0.569623561
772	0.5696235606
773	0.5696235539
774	0.5696211162
775	0.5696211135
776	0.5696211073
777	0.5696211022
