iter	Logloss
0	0.6859965698
1	0.6774752085
2	0.6697070649
3	0.6634828614
4	0.6569653525
5	0.6501111435
6	0.6432032019
7	0.6364402902
8	0.631445024
9	0.6263243216
10	0.620494157
11	0.6156347248
12	0.6107248657
13	0.605502408
14	0.6013157148
15	0.5962528922
16	0.5919426862
17	0.5878703701
18	0.58451545
19	0.5811413568
20	0.5770318967
21	0.5735015944
22	0.5702792026
23	0.566511311
24	0.5635132858
25	0.5604022659
26	0.557074212
27	0.5542160477
28	0.5511716226
29	0.5478267998
30	0.5452428881
31	0.5411337886
32	0.5375578677
33	0.5338832568
34	0.5307855198
35	0.5282083396
36	0.5259176129
37	0.522482094
38	0.5205511472
39	0.5181699046
40	0.5157989998
41	0.5132279502
42	0.5107329316
43	0.5085800223
44	0.5056351888
45	0.5037263
46	0.5018930816
47	0.5000514486
48	0.4982017318
49	0.4965247826
50	0.4949280116
51	0.4930171394
52	0.4907833007
53	0.4893340839
54	0.4874938935
55	0.4860759305
56	0.4849479071
57	0.4833460272
58	0.481407297
59	0.4802109959
60	0.4788044827
61	0.476999002
62	0.4758298377
63	0.4735932644
64	0.4717926822
65	0.4706871375
66	0.4693980966
67	0.4682627105
68	0.4668762117
69	0.4658720617
70	0.4648388816
71	0.4637174095
72	0.4627556625
73	0.4617156607
74	0.4598635697
75	0.458576933
76	0.4574461148
77	0.4562048863
78	0.4552432896
79	0.4545788749
80	0.4537610158
81	0.452678671
82	0.4516687511
83	0.4507800599
84	0.4500329428
85	0.44912589
86	0.448366121
87	0.4477727187
88	0.4466703594
89	0.4459511904
90	0.4448995886
91	0.4436494347
92	0.4419740783
93	0.4409473594
94	0.4400553025
95	0.4385415344
96	0.437818669
97	0.437085556
98	0.4363360046
99	0.435129576
100	0.4344817499
101	0.4334238974
102	0.4328842877
103	0.4318735864
104	0.4307788002
105	0.430036311
106	0.4287926783
107	0.4280546067
108	0.4273505537
109	0.4256003383
110	0.4247280855
111	0.4241354946
112	0.423299334
113	0.4227084559
114	0.4220041024
115	0.4212521168
116	0.4204828214
117	0.4198535974
118	0.4187161978
119	0.4181041332
120	0.4175110314
121	0.4169860569
122	0.4164368908
123	0.4158320688
124	0.4153691512
125	0.4147302505
126	0.4138907842
127	0.4133655993
128	0.4127120333
129	0.4122199655
130	0.4114466131
131	0.4110038904
132	0.4105186143
133	0.4100958459
134	0.4095875502
135	0.4091726554
136	0.4082539125
137	0.4076972935
138	0.407269807
139	0.406901793
140	0.4063228756
141	0.4055595605
142	0.404875582
143	0.4037319317
144	0.4032274225
145	0.4027041309
146	0.4023023086
147	0.4017057508
148	0.4010874956
149	0.4004515399
150	0.399856064
151	0.3994887712
152	0.398990092
153	0.3979584146
154	0.3973494454
155	0.3971024799
156	0.3967571249
157	0.3962454033
158	0.3958558722
159	0.3952000222
160	0.3946818695
161	0.393972888
162	0.3929578292
163	0.3926084773
164	0.3923158932
165	0.3916470609
166	0.3912554863
167	0.3908556774
168	0.3899219688
169	0.3892794618
170	0.3882715252
171	0.3879126469
172	0.3874481967
173	0.3869988325
174	0.386477284
175	0.3857126166
176	0.3853736325
177	0.3847084064
178	0.3844025996
179	0.3839665483
180	0.3835379499
181	0.3832091834
182	0.3827404358
183	0.3822141691
184	0.3817475252
185	0.3814382924
186	0.3811024939
187	0.3804642543
188	0.3802213157
189	0.379937657
190	0.3794912679
191	0.3791238249
192	0.3785976784
193	0.3778870741
194	0.3773755027
195	0.3768143459
196	0.3764148977
197	0.3756385401
198	0.3752597675
199	0.3748954799
200	0.3744394142
201	0.3741553648
202	0.3738637724
203	0.3735068475
204	0.3730179051
205	0.372174472
206	0.3718971241
207	0.3714265434
208	0.3712039198
209	0.3709320414
210	0.3706134926
211	0.370320608
212	0.3699924125
213	0.3696828191
214	0.3693352704
215	0.3690034687
216	0.3685240828
217	0.3681311258
218	0.3676968175
219	0.3672587828
220	0.3668920309
221	0.3663621881
222	0.3660472154
223	0.3656545289
224	0.3653244402
225	0.3651349036
226	0.36487742
227	0.3644695573
228	0.3641041878
229	0.3638143084
230	0.3633624499
231	0.3629965094
232	0.3626747451
233	0.362307272
234	0.3620830256
235	0.361872573
236	0.361463959
237	0.3611021657
238	0.3609385939
239	0.3605822399
240	0.3602509191
241	0.3598899372
242	0.3596904535
243	0.3594175834
244	0.3591301682
245	0.3587437324
246	0.3584860685
247	0.3581934844
248	0.357856604
249	0.3574585382
250	0.3572339312
251	0.3568850301
252	0.3566020626
253	0.3562873604
254	0.3558881526
255	0.355697444
256	0.3551762861
257	0.3548466181
258	0.3545077543
259	0.3542841691
260	0.3540000897
261	0.3537340113
262	0.3535058882
263	0.3530275842
264	0.3526970447
265	0.3523166193
266	0.3521065273
267	0.3519057814
